GAME_DATE_EST,SEASON,HOME_TEAM_WINS,HOME_REST_DAYS,HOME_LAST_GAME_WON,HOME_SEASON_WIN_RATE,HOME_ROLLING_PTS_5,HOME_ROLLING_AST_5,HOME_ROLLING_REB_5,HOME_ROLLING_FG_PCT_5,HOME_ROLLING_FT_PCT_5,HOME_ROLLING_FG3_PCT_5,HOME_ROLLING_PTS_15,HOME_ROLLING_AST_15,HOME_ROLLING_REB_15,HOME_ROLLING_FG_PCT_15,HOME_ROLLING_FT_PCT_15,HOME_ROLLING_FG3_PCT_15,VISITOR_REST_DAYS,VISITOR_LAST_GAME_WON,VISITOR_SEASON_WIN_RATE,VISITOR_ROLLING_PTS_5,VISITOR_ROLLING_AST_5,VISITOR_ROLLING_REB_5,VISITOR_ROLLING_FG_PCT_5,VISITOR_ROLLING_FT_PCT_5,VISITOR_ROLLING_FG3_PCT_5,VISITOR_ROLLING_PTS_15,VISITOR_ROLLING_AST_15,VISITOR_ROLLING_REB_15,VISITOR_ROLLING_FG_PCT_15,VISITOR_ROLLING_FT_PCT_15,VISITOR_ROLLING_FG3_PCT_15,HOME_ELO,VISITOR_ELO,REST_DIFF,WIN_RATE_DIFF,ELO_DIFF,PTS_DIFF_5,PTS_DIFF_15,AST_DIFF_5,AST_DIFF_15,REB_DIFF_5,REB_DIFF_15,FG_PCT_DIFF_5,FG_PCT_DIFF_15,FT_PCT_DIFF_5,FT_PCT_DIFF_15,FG3_PCT_DIFF_5,FG3_PCT_DIFF_15
2003-10-05,2003,1,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-06,2003,1,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,1,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,1,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,1,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,1,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,0,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,1,2.0,0.0,0.0,85.0,20.0,38.0,0.37972727272727275,0.29009090909090907,0.09090909090909091,85.0,20.0,38.0,0.37972727272727275,0.29009090909090907,0.09090909090909091,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1490.0,1500.0,-5.0,-0.5,-10.0,-16.599999999999994,-16.266666666666666,-2.0,-1.9333333333333336,-4.600000000000001,-4.666666666666664,-0.03822408702408703,-0.038080521885521856,-0.14931884226884234,-0.1499846464646465,-0.10898929292929291,-0.10799673400673399
2003-10-07,2003,0,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-07,2003,0,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,7.0,0.5,0.5,101.6,22.0,42.6,0.4179513597513598,0.4394097513597514,0.19989838383838382,101.26666666666667,21.933333333333334,42.666666666666664,0.4178077946127946,0.44007555555555555,0.1989058249158249,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
